"tract","Name","Employment_Rate_rP_gP_pall"
17031700301,"Ashburn, Chicago, IL",0.7792
17031150700,"Portage Park, Chicago, IL",0.7792
17031191000,"Belmont Cragin, Chicago, IL",0.7789
18089020200,"Whiting, IN",0.7788
17031814800,"Berwyn, IL",0.7788
18089030200,"East Chicago, IN",0.7788
17031530400,"South Side, Chicago, IL",0.7788
17031817101,"Bellwood, IL",0.7787
17031170800,"Belmont Heights, Chicago, IL",0.7785
17031650400,"South Side, Chicago, IL",0.7783
17031808100,"Niles, IL",0.7781
17031831700,"Old Irving Park, Chicago, IL",0.7779
17031241100,"Humboldt Park, Chicago, IL",0.7778
17031222800,"Logan Square, Chicago, IL",0.7777
17043840801,"Bensenville, IL",0.7777
17043845803,"Lemont, IL",0.7774
17031818700,"Brookfield, IL",0.7774
17031830900,"Logan Square, Chicago, IL",0.7774
17031842600,"South Side, Chicago, IL",0.7774
17031110200,"Gladstone Park, Chicago, IL",0.7773
17031050800,"North Center, Chicago, IL",0.7768
17031823500,"Blue Island, IL",0.7767
17031839900,"Bridgeport, Chicago, IL",0.7766
17031832000,"Lake View, Chicago, IL",0.7766
17031827000,"Harvey, IL",0.7765
17031220701,"Logan Square, Chicago, IL",0.7763
17031814300,"Cicero, IL",0.7762
17031150402,"Portage Park, Chicago, IL",0.7761
17031390700,"East Hyde Park, Chicago, IL",0.7757
17031240900,"West Town, Chicago, IL",0.7754
17031810800,"Elmwood Park, IL",0.7754
17031510100,"South Deering, Chicago, IL",0.7753
17031040600,"Lincoln Square, Chicago, IL",0.7751
17031010701,"Rogers Park, Chicago, IL",0.775
17031550100,"South Side, Chicago, IL",0.775
17031832300,"Bucktown, Chicago, IL",0.7749
17031140302,"Albany Park, Chicago, IL",0.7747
18089020400,"Hammond, IN",0.7747
17031150300,"Portage Park, Chicago, IL",0.7746
17031252102,"Austin, Chicago, IL",0.7742
17043845502,"Willowbrook, IL",0.7741
17031823803,"Palos Hills, IL",0.7739
17031170200,"Dunning, Chicago, IL",0.7739
17031191301,"Belmont Cragin, Chicago, IL",0.7738
17031071500,"Lincoln Park, Chicago, IL",0.7737
17031151001,"Cragin, Chicago, IL",0.7736
17043840101,"Wood Dale, IL",0.7736
