"tract","Name","Employment_Rate_rP_gP_p75"
24005451801,"Middle River, MD",0.7995
24033800209,"Laurel, MD",0.7993
24013505208,"Sykesville, MD",0.7992
24025301301,"Harford County, MD",0.7991
24005402303,"Windsor Mill, Baltimore, MD",0.7988
24005430700,"Halethorpe, MD",0.7988
24510180100,"Poppleton, Baltimore, MD",0.7987
24025303605,"Bel Air, MD",0.7987
24510260501,"Joseph Lee, Baltimore, MD",0.7987
24005490601,"Baltimore, MD",0.7985
24510240100,"Locust Point, Baltimore, MD",0.7979
24031703210,"Silver Spring, MD",0.7977
24031701509,"Silver Spring, MD",0.7976
24027606904,"Laurel, MD",0.7975
24510080500,"Darley Park, Baltimore, MD",0.7974
24510230200,"South Baltimore, Baltimore, MD",0.7972
24510280101,"Reisterstown Station, Baltimore, MD",0.7971
24003730203,"Glen Burnie, MD",0.797
24510280403,"Westgate, Baltimore, MD",0.7969
24003750803,"Glen Burnie, MD",0.7958
24003702204,"Crofton, MD",0.795
24003751000,"Glen Burnie, MD",0.7948
24033805601,"Hyattsville, MD",0.7948
24031702200,"Silver Spring, MD",0.7946
24003750300,"Linthicum Heights, MD",0.7945
24013507802,"Westminster, MD",0.7945
24003731307,"Pasadena, MD",0.7944
24005440600,"Rosedale, MD",0.7942
24003730401,"Glen Burnie, MD",0.7941
24510260203,"Frankford, Baltimore, MD",0.7938
24005408702,"Towson, MD",0.7935
24005430300,"Lansdowne - Baltimore Highlands, Halethorpe, MD",0.7935
24005420702,"Dundalk, MD",0.7932
24027602202,"Ellicott City, MD",0.793
24005420100,"Dundalk, MD",0.7928
24510240200,"Riverside, Baltimore, MD",0.7928
24005421101,"Baltimore, MD",0.7924
24510271503,"Cross Keys, Baltimore, MD",0.7924
24003730402,"Glen Burnie, MD",0.7924
24033805907,"Hyattsville, MD",0.7917
24025301703,"Abingdon, MD",0.7915
24005408800,"Lutherville-Timonium, MD",0.7912
24005491202,"Towson, MD",0.7906
24031701418,"Silver Spring, MD",0.7903
24510250204,"Cherry Hill, Baltimore, MD",0.79
24003750900,"Glen Burnie, MD",0.7898
24510250206,"Morrell Park, Baltimore, MD",0.7891
24510250102,"Yale Heights, Baltimore, MD",0.7891
24005408302,"Lutherville-Timonium, MD",0.789
24510280102,"Gwynn Oak, Baltimore, MD",0.7888
24510010400,"Canton, Baltimore, MD",0.7886
24005450800,"Essex, MD",0.7886
24003706600,"Annapolis, MD",0.7883
24005452500,"Dundalk, MD",0.7874
24510090900,"Oliver, Baltimore, MD",0.7874
24005451401,"Middle River, MD",0.7872
24025303205,"Forest Hill, MD",0.7871
24033806900,"Hollywood, College Park, MD",0.7868
24510090700,"Coldstream - Homestead - Montebello, Baltimore, MD",0.7868
24005408506,"Cockeysville, MD",0.7868
24510080400,"Broadway East, Baltimore, MD",0.7863
24510110200,"Downtown, Baltimore, MD",0.7861
24031702301,"Silver Spring, MD",0.786
