"tract","Name","Employment_Rate_rP_gP_p75"
17031460302,"South Chicago, Chicago, IL",0.8292
17031842600,"South Side, Chicago, IL",0.829
17031750400,"Kennedy Park, Chicago, IL",0.829
17043844402,"Oak Brook, IL",0.829
17031252201,"Austin, Chicago, IL",0.8289
17031062200,"Lake View, Chicago, IL",0.8288
17031190300,"Belmont Cragin, Chicago, IL",0.8288
17043846702,"Addison, IL",0.8288
17031250600,"Austin, Chicago, IL",0.8286
17031241000,"Humboldt Park, Chicago, IL",0.8283
17043844100,"Elmhurst, IL",0.8283
17031292200,"Lawndale, Chicago, IL",0.828
17031823302,"Chicago, IL",0.828
17043843602,"Lombard, IL",0.8279
17031833000,"Near West Side, Chicago, IL",0.8278
17031813100,"Oak Park, IL",0.8276
17031820000,"Hinsdale, IL",0.8276
17043843302,"Lombard, IL",0.8276
17031812900,"Oak Park, IL",0.8274
17031811702,"Melrose Park, IL",0.8274
17031100300,"Norwood Park, Chicago, IL",0.8271
17031170200,"Dunning, Chicago, IL",0.827
17031720600,"South Side, Chicago, IL",0.8269
17031816600,"Stone Park, IL",0.8269
17031330100,"Near South Side, Chicago, IL",0.8267
17031822302,"Oak Lawn, IL",0.8266
17031834600,"Englewood, Chicago, IL",0.8265
17031190601,"Belmont Central, Chicago, IL",0.8264
17031770902,"Chicago, IL",0.8261
18089031000,"East Chicago, IN",0.8261
17031430600,"South Shore, Chicago, IL",0.826
17031807900,"Lincolnwood, IL",0.826
17031805701,"Park Ridge, IL",0.8259
17031811900,"River Forest, IL",0.8257
17031480100,"Calumet Heights, Chicago, IL",0.8255
17031221300,"Logan Square, Chicago, IL",0.8254
17043845402,"Hinsdale, IL",0.8254
17031700501,"South Side, Chicago, IL",0.8254
17031010201,"Rogers Park, Chicago, IL",0.8253
17031810501,"Norridge, IL",0.8253
17031040202,"Budlong Woods, Chicago, IL",0.8252
17031821402,"Calumet Park, IL",0.8251
17031210501,"Avondale, Chicago, IL",0.8251
17043845602,"Downers Grove, IL",0.8251
17031821002,"Burbank, IL",0.825
17031770800,"Schiller Park, IL",0.8249
17031411000,"South Side, Chicago, IL",0.8249
17031831200,"Hermosa, Chicago, IL",0.8248
17031661100,"South Side, Chicago, IL",0.8248
17031810800,"Elmwood Park, IL",0.8246
17031030400,"Edgewater, Chicago, IL",0.8245
17031160400,"Irving Park, Chicago, IL",0.8245
17031610400,"Back of the Yards, Chicago, IL",0.8245
17031681300,"Englewood, Chicago, IL",0.8244
17031837800,"Near West Side, Chicago, IL",0.8242
17031815800,"Hollywood, Brookfield, IL",0.8242
17031824800,"Posen, IL",0.8239
17031040600,"Lincoln Square, Chicago, IL",0.8238
17031151002,"Cragin, Chicago, IL",0.8238
17031191100,"Belmont Cragin, Chicago, IL",0.8238
17031100100,"Norwood Park, Chicago, IL",0.8237
17031834800,"Englewood, Chicago, IL",0.8235
17031812302,"Oak Park, IL",0.8234
17031010400,"Rogers Park, Chicago, IL",0.8234
18089030300,"East Chicago, IN",0.823
17031833900,"South Side, Chicago, IL",0.8228
17031811100,"River Grove, IL",0.8228
17031490300,"South Side, Chicago, IL",0.8228
17031700401,"South Side, Chicago, IL",0.8227
17031252202,"Austin, Chicago, IL",0.8226
17031220601,"Logan Square, Chicago, IL",0.8225
17031062000,"Boystown, Chicago, IL",0.8222
17031822500,"Oak Lawn, IL",0.8221
17031060800,"Lake View, Chicago, IL",0.822
17031830800,"Lincoln Square, Chicago, IL",0.8219
17031807700,"Skokie, IL",0.8219
17031151200,"Portage Park, Chicago, IL",0.8216
17031812400,"Oak Park, IL",0.8216
17031110300,"Jefferson Park, Chicago, IL",0.8215
17031805600,"Park Ridge, IL",0.8215
17197881006,"Orland Park, IL",0.8215
17031805402,"Niles, IL",0.8215
17031560100,"South Side, Chicago, IL",0.8214
17043840102,"Wood Dale, IL",0.8213
17031819200,"Lyons, IL",0.8213
17197881001,"Lockport, IL",0.8212
17031250400,"Austin, Chicago, IL",0.8212
17031590700,"McKinley Park, Chicago, IL",0.8209
17043845701,"Downers Grove, IL",0.8209
17031242800,"West Town, Chicago, IL",0.8206
17031071200,"Lincoln Park, Chicago, IL",0.8206
17043845704,"Downers Grove, IL",0.8204
17031490800,"Roseland, Chicago, IL",0.8203
17031833300,"Near West Side, Chicago, IL",0.8202
17031161000,"Old Irving Park, Chicago, IL",0.8202
17043842900,"Elmhurst, IL",0.8201
17031100600,"Norwood Park, Chicago, IL",0.8201
17031820501,"Bridgeview, IL",0.82
17031081700,"River North, Chicago, IL",0.82
17031010100,"Rogers Park, Chicago, IL",0.8197
17043844702,"Hinsdale, IL",0.8195
17031814500,"Cicero, IL",0.8194
17031836600,"Humboldt Park, Chicago, IL",0.8191
17043845811,"Willowbrook, IL",0.8191
17031822701,"Oak Lawn, IL",0.8189
17031430500,"South Side, Chicago, IL",0.8189
17031823101,"Worth, IL",0.8187
17031836500,"Bronzeville, Chicago, IL",0.8186
17031824701,"Midlothian, IL",0.8186
17043840103,"Wood Dale, IL",0.8184
17043844602,"Elmhurst, IL",0.8184
17043846701,"Addison, IL",0.8183
17031819600,"La Grange, IL",0.8182
17031081402,"Streeterville, Chicago, IL",0.8182
17031813200,"Oak Park, IL",0.8181
17031843900,"South Side, Chicago, IL",0.8181
17031842800,"Brighton Park, Chicago, IL",0.8181
17031340500,"Armour Square, Chicago, IL",0.8178
17031251900,"Austin, Chicago, IL",0.8177
17031020701,"Peterson Park, Chicago, IL",0.8177
17031140400,"Albany Park, Chicago, IL",0.8171
17031740400,"Mount Greenwood, Chicago, IL",0.8169
17031400800,"South Side, Chicago, IL",0.8168
17031813000,"Oak Park, IL",0.8167
17031830700,"Uptown, Chicago, IL",0.8167
17031210601,"Avondale, Chicago, IL",0.8166
